customer_id,age,tenure,monthly_charge,payment_type,multiple
K191035,50,15.75414408,159.947583,Credit Card Automatic,t
W303516,83,7.000993555,185.007692,Electronic Check,t
J980369,23,19.26726194,174.958118,Mailed Check,t
X44200,29,16.87922024,184.971516,Bank Transfer Automatic,t
V899967,40,3.586184954,147.489301,Electronic Check,t
O739489,25,7.161561527,140.00128,Electronic Check,t
K227200,32,18.55959629,192.456745,Electronic Check,t
O942919,25,2.344875382,194.976769,Electronic Check,t
W604879,63,7.916533093,184.963371,Bank Transfer Automatic,t
M562102,48,12.24190682,152.462354,Electronic Check,t
E186097,31,7.832238337,169.992756,Credit Card Automatic,t
I627613,72,19.45250317,192.456745,Mailed Check,t
A740543,32,2.257358355,195.006206,Bank Transfer Automatic,t
B260505,76,18.38404445,184.979684,Mailed Check,t
N931384,20,6.998814446,182.467607,Electronic Check,t
G695985,32,11.13472066,182.467607,Bank Transfer Automatic,t
K401117,24,6.311709178,137.483594,Mailed Check,t
O17401,79,12.58298231,275.133571,Electronic Check,t
Q765651,28,22.37815032,147.456419,Credit Card Automatic,t
J227824,31,7.992791229,149.991327,Credit Card Automatic,t
S136858,34,7.231032028,124.960655,Bank Transfer Automatic,t
U700981,62,10.05306287,172.48852,Bank Transfer Automatic,t
M248356,46,8.447988841,179.979358,Electronic Check,t
E759213,70,6.365998533,202.443347,Bank Transfer Automatic,t
G106476,89,7.251397592,197.472533,Bank Transfer Automatic,t
Z245249,25,4.13273503,169.992756,Electronic Check,t
X852253,55,18.91276578,217.483972,Electronic Check,t
T392167,58,12.07358377,137.469817,Electronic Check,t
K20948,38,19.48900163,172.462354,Electronic Check,t
B424659,34,2.976033785,194.999168,Mailed Check,t
F697244,81,3.521499924,147.456419,Mailed Check,t
B248010,54,5.827112819,169.944668,Electronic Check,t
B148329,51,8.038308899,207.46728,Credit Card Automatic,t
X914490,81,1.416592892,149.974105,Bank Transfer Automatic,t
M379067,53,11.94550648,137.469817,Electronic Check,t
V280043,41,21.29342532,124.960655,Bank Transfer Automatic,t
U169694,59,4.95598008,199.990219,Bank Transfer Automatic,t
R717119,53,9.999416271,139.987503,Bank Transfer Automatic,t
F269503,27,16.0708543,157.483594,Mailed Check,t
H906834,72,12.84490034,179.965581,Mailed Check,t
C459569,88,2.861423443,115.002061,Credit Card Automatic,t
E475593,53,23.12150846,147.503078,Credit Card Automatic,t
J757606,63,12.73622643,137.497825,Bank Transfer Automatic,t
E791178,56,12.00466914,134.980139,Electronic Check,t
Z817431,47,1.583394702,197.494455,Mailed Check,t
A295468,42,14.23487852,162.529926,Bank Transfer Automatic,t
X525693,87,8.959047529,124.993537,Electronic Check,t
T515102,75,10.23679934,174.976769,Electronic Check,t
Y413092,61,2.009542213,194.974431,Bank Transfer Automatic,t
U469398,49,11.77389421,134.980139,Electronic Check,t
I85282,41,2.585228303,157.483594,Mailed Check,t
Z317359,75,9.517703088,255.141716,Credit Card Automatic,t
N914081,69,20.78013031,159.980465,Mailed Check,t
J227266,82,18.9537053,169.974105,Electronic Check,t
F881222,40,9.640061615,197.470195,Electronic Check,t
N800767,48,8.134438503,160.00128,Electronic Check,t
B363210,24,14.86764776,147.478341,Electronic Check,t
J04574,77,4.439685675,214.952509,Mailed Check,t
A51913,72,3.999030359,210.156274,Credit Card Automatic,t
A318319,52,21.08265979,169.967067,Mailed Check,t
O402306,79,8.701581043,127.478341,Electronic Check,t
X426072,24,9.001231999,197.470195,Bank Transfer Automatic,t
W452692,48,10.9750814,192.456745,Electronic Check,t
W211742,85,6.10108047,207.638588,Mailed Check,t
E998043,70,10.16660427,137.468388,Mailed Check,t
S332430,58,24.8868126,182.465269,Bank Transfer Automatic,t
E862109,82,18.37317391,194.976769,Mailed Check,t
S777773,61,8.498042024,192.48852,Credit Card Automatic,t
L538003,57,7.065506244,125.007314,Electronic Check,t
N700604,30,10.4103675,149.944668,Credit Card Automatic,t
Y795644,48,3.288124191,160.00128,Electronic Check,t
N804575,71,8.69085131,255.155493,Bank Transfer Automatic,t
A859738,21,11.32083915,194.958118,Mailed Check,t
W610913,44,18.61278731,147.478341,Electronic Check,t
H932939,74,4.924623699,207.49737,Electronic Check,t
D770283,22,14.16961729,169.944668,Bank Transfer Automatic,t
Y701439,43,10.27782059,207.49737,Electronic Check,t
O403114,48,9.307770559,127.478341,Electronic Check,t
L74134,19,10.85041661,124.960655,Mailed Check,t
O764702,83,1.715329149,169.992756,Electronic Check,t
D269899,84,21.71097206,169.992756,Electronic Check,t
W291881,62,3.470685398,179.979358,Credit Card Automatic,t
L647810,21,9.16272705,192.440432,Bank Transfer Automatic,t
G97647,31,7.457173484,172.440432,Credit Card Automatic,t
Y172017,36,5.440398012,112.484375,Electronic Check,t
E996692,87,11.92300936,179.965581,Bank Transfer Automatic,t
Q783171,36,3.179043613,182.45383,Credit Card Automatic,t
F157997,66,17.24908083,144.960655,Mailed Check,t
