CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timeliness,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
1,K409198,aa90260b-4141-4a24-8e36-b04ce1f4f77b,Point Baker,AK,Prince of Wales-Hyder,99927,56.251,-133.37571,38,Urban,America/Sitka,Environmental health practitioner,1.0,0.4166666666666667,Graduate Degree,Part Time,28561.99,Widowed,Male,No,-0.7286543946599914,10,-0.5,1.0,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),-0.5619417215251035,0.024469001722872308,-0.539259198991461,5,5,5,3,4,4,3,4
2,S120509,fb76459f-c047-4a9d-8af9-e0f7d4ac2524,West Branch,MI,Ogemaw,48661,44.32893,-84.2408,10446,Urban,America/Detroit,"Programmer, multimedia",1.0,-0.7222222222222222,High School,Retired,21704.77,Married,Female,Yes,0.4086464619809976,12,-0.5,1.0,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),-0.6671347095797038,1.1646763136911373,-0.5630162786461547,3,4,3,3,4,3,4,4
3,K191035,344d114c-3736-4be5-98f7-c72c281e2d35,Yamhill,OR,Yamhill,97148,45.35589,-123.24657,3735,Urban,America/Los_Angeles,Chief Financial Officer,4.0,-0.08333333333333333,High School,Student,33186.785,Widowed,Female,No,0.009636071794579345,9,-0.5,1.0,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),-0.3948175394045065,-0.16704846411254137,-0.2753884301964407,4,4,2,4,4,3,3,3
4,D90850,abfa2b40-2d43-4994-b15a-989b8c79e311,Del Mar,CA,San Diego,92014,32.96687,-117.24798,13863,Suburban,America/Los_Angeles,Solicitor,1.0,-0.1388888888888889,Graduate Degree,Retired,18925.23,Married,Male,No,1.128576365328797,15,0.5,0.0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,-0.36994874796871696,-0.7920393459688752,-0.25018162888114237,4,4,4,2,5,4,3,3
5,K662701,68a861fd-0d20-4e51-a587-8a90407ee574,Needville,TX,Fort Bend,77461,29.38012,-95.80673,11352,Suburban,America/Chicago,Medical illustrator,0.0,0.8333333333333334,Graduate Degree,Student,40074.19,Separated,Male,Yes,-0.2802844296409237,16,0.5,1.0,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,-0.6575405633111157,-0.30545838152748905,-0.6844910634159942,4,4,4,3,4,4,4,5
6,W303516,2b451d12-6c2b-4cea-a295-ba1d6bced078,Fort Valley,GA,Peach,31030,32.57032,-83.8904,17701,Urban,America/New_York,Chief Technology Officer,3.0,0.8333333333333334,No Diploma,Full Time,33186.785,Never Married,Female,No,-0.5386613076597981,15,1.0,1.0,No,One year,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,-0.5581084597193856,0.23101576056049908,-0.5083285322984424,3,3,3,2,4,3,3,3
7,U335188,6630d501-838c-4be4-a59c-6f58c814ed6a,Pioneer,TN,Scott,37847,36.4342,-84.27892,2535,Suburban,America/New_York,"Surveyor, hydrographic",0.0,-0.8055555555555556,Associate's/Some College,Full Time,11467.5,Widowed,Male,Yes,0.20891932407346192,10,-0.5,1.0,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,-0.4417793398428253,0.4808042524191802,-0.30921943549443237,6,5,6,4,1,5,5,5
8,V538685,70ddaa89-b726-49dc-9022-2d655e4c7936,Oklahoma City,OK,Oklahoma,73109,35.43313,-97.52463,23144,Suburban,America/Chicago,Sales promotion account executive,2.0,-0.4444444444444444,Bachelor's Degree,Full Time,26759.64,Married,Female,Yes,-0.5882905903751892,16,-0.5,0.0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,0.31172107310823777,-0.8796761032679141,-0.5220352191684224,2,2,2,5,2,3,4,5
9,M716771,05a49ee3-8fd5-453a-a5f3-82b6cd986856,Saint Cloud,FL,Osceola,34771,28.27646,-81.16273,17351,Suburban,America/New_York,Teaching laboratory technician,2.0,-0.1111111111111111,Associate's/Some College,Full Time,58634.51,Separated,Prefer not to answer,No,-0.8042885006229948,20,0.5,3.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),-0.5353549651708992,-0.8220626070094504,-0.4455786060550821,5,4,4,3,4,3,4,4
10,I676080,86f17e4d-2c24-4b70-a6ec-dddf0609dbaa,Cincinnati,OH,Hamilton,45237,39.19296,-84.4523,20193,Rural,America/New_York,Museum education officer,1.0,0.9166666666666666,High School,Full Time,50231.4,Married,Female,No,-0.2193604692434585,18,0.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,-0.6248733444327541,-0.11019807382680881,-0.630056793090888,2,2,2,2,5,2,3,3
