customer_id,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport
A00088,Fiber Optic,Yes,Yes,Yes,No,No,No
A04204,DSL,Yes,Yes,Yes,Yes,Yes,Yes
A04378,None,Yes,Yes,No,No,No,Yes
A04830,DSL,Yes,Yes,Yes,No,Yes,No
A05946,Fiber Optic,No,No,No,No,No,No
A06667,DSL,Yes,Yes,No,Yes,Yes,Yes
A08755,Fiber Optic,Yes,No,No,Yes,Yes,Yes
A100934,DSL,Yes,No,Yes,No,No,No
A103291,DSL,No,Yes,No,No,No,Yes
A105398,DSL,Yes,No,Yes,No,Yes,Yes
A106835,Fiber Optic,Yes,Yes,No,No,Yes,No
A118391,DSL,Yes,No,No,No,No,No
A121664,Fiber Optic,Yes,Yes,Yes,No,No,Yes
A124923,None,Yes,No,No,Yes,No,Yes
A125688,DSL,Yes,Yes,Yes,Yes,Yes,Yes
A127324,DSL,No,No,No,No,Yes,Yes
A127838,DSL,Yes,No,Yes,No,Yes,Yes
A128723,None,Yes,Yes,Yes,Yes,No,No
A131826,None,Yes,Yes,No,No,No,Yes
A132981,DSL,Yes,Yes,No,No,Yes,No
A138113,DSL,Yes,Yes,No,No,No,Yes
A141988,DSL,No,Yes,No,No,Yes,Yes
A143104,None,Yes,No,No,Yes,No,No
A143106,None,Yes,Yes,Yes,No,Yes,Yes
A145480,Fiber Optic,Yes,Yes,Yes,No,Yes,No
A146981,DSL,Yes,Yes,No,Yes,No,Yes
A151684,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A155369,Fiber Optic,Yes,Yes,No,No,No,No
A156174,DSL,Yes,Yes,No,No,Yes,No
A156547,DSL,Yes,No,Yes,Yes,No,Yes
A159743,DSL,Yes,Yes,No,No,No,Yes
A163731,Fiber Optic,Yes,No,No,Yes,No,No
A165071,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A166320,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A166877,Fiber Optic,Yes,No,No,No,Yes,Yes
A169002,DSL,Yes,Yes,No,No,Yes,No
A170090,DSL,Yes,No,No,Yes,Yes,Yes
A175625,None,Yes,Yes,No,Yes,No,No
A176270,DSL,Yes,Yes,Yes,No,Yes,No
A17652,DSL,No,No,No,No,Yes,No
A177150,Fiber Optic,No,Yes,No,Yes,No,Yes
A178778,DSL,Yes,No,Yes,No,No,Yes
A184694,DSL,Yes,No,Yes,Yes,No,No
A199560,DSL,No,Yes,Yes,Yes,Yes,No
A202517,DSL,Yes,Yes,No,No,No,No
A206123,DSL,Yes,Yes,No,No,No,No
A212257,DSL,Yes,Yes,No,No,No,No
A213804,DSL,Yes,No,No,Yes,No,No
A219935,Fiber Optic,Yes,No,Yes,Yes,Yes,No
A223123,Fiber Optic,Yes,Yes,No,Yes,No,Yes
A224018,Fiber Optic,No,No,Yes,Yes,Yes,No
A224472,None,Yes,No,No,Yes,Yes,No
A22477,Fiber Optic,Yes,No,No,Yes,Yes,Yes
A225434,Fiber Optic,Yes,Yes,Yes,No,No,Yes
A226212,DSL,Yes,No,Yes,Yes,No,No
A229546,Fiber Optic,Yes,No,No,No,No,No
A230205,Fiber Optic,Yes,No,No,Yes,Yes,No
A233218,Fiber Optic,Yes,No,No,No,Yes,No
A235822,Fiber Optic,Yes,No,Yes,No,No,No
A236354,DSL,Yes,No,No,No,Yes,Yes
A241767,Fiber Optic,Yes,No,No,No,No,No
A254137,None,Yes,Yes,No,No,No,No
A25662,None,Yes,Yes,No,Yes,Yes,No
A258709,Fiber Optic,Yes,No,No,Yes,Yes,Yes
A259316,DSL,Yes,No,Yes,Yes,No,No
A260461,DSL,No,Yes,No,No,No,Yes
A263401,Fiber Optic,Yes,No,Yes,No,No,No
A267074,Fiber Optic,No,No,Yes,Yes,Yes,Yes
A267630,None,Yes,No,No,Yes,Yes,Yes
A268547,None,Yes,Yes,No,No,No,Yes
A270578,Fiber Optic,Yes,Yes,No,No,Yes,Yes
A27178,DSL,No,No,No,No,Yes,No
A273212,Fiber Optic,Yes,No,No,No,Yes,No
A273885,DSL,Yes,No,No,Yes,Yes,Yes
A282518,Fiber Optic,Yes,No,No,Yes,No,No
A289117,Fiber Optic,Yes,No,No,Yes,No,No
A290262,None,Yes,No,Yes,Yes,No,Yes
A292290,None,No,No,No,Yes,No,Yes
A293164,DSL,Yes,Yes,Yes,Yes,No,No
A29486,DSL,No,Yes,Yes,No,Yes,No
A295468,None,Yes,Yes,Yes,Yes,Yes,Yes
A295954,Fiber Optic,Yes,No,Yes,Yes,Yes,No
A297665,None,Yes,No,No,Yes,No,Yes
A299711,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes
A300601,DSL,Yes,Yes,No,No,No,No
A301811,Fiber Optic,Yes,Yes,Yes,No,No,No
A304266,None,Yes,Yes,No,Yes,No,Yes
A311758,Fiber Optic,Yes,No,No,No,No,Yes
A312093,DSL,Yes,No,No,Yes,No,No
A31278,None,Yes,No,Yes,No,Yes,No
A313674,None,Yes,No,Yes,No,No,No
A314084,DSL,Yes,No,No,No,No,Yes
A316138,Fiber Optic,Yes,Yes,Yes,No,No,No
A318319,None,Yes,Yes,No,Yes,No,No
A325803,Fiber Optic,Yes,No,No,No,No,No
A327397,Fiber Optic,Yes,No,No,No,No,No
A32952,Fiber Optic,Yes,No,Yes,No,Yes,No
A332968,DSL,Yes,Yes,No,No,Yes,Yes
A34326,Fiber Optic,Yes,Yes,No,Yes,No,Yes
A34728,Fiber Optic,Yes,No,Yes,Yes,No,No
A349493,None,Yes,Yes,No,No,No,No
A35543,Fiber Optic,Yes,No,No,Yes,Yes,No
A357267,None,Yes,Yes,No,No,Yes,Yes
A357886,Fiber Optic,Yes,No,No,No,Yes,Yes
A362559,DSL,Yes,No,Yes,Yes,Yes,No
A36623,None,Yes,No,No,No,Yes,No
A366329,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A367660,Fiber Optic,Yes,No,No,No,Yes,Yes
A374706,None,Yes,Yes,No,Yes,Yes,Yes
A378183,Fiber Optic,Yes,No,No,No,No,Yes
A378200,DSL,Yes,No,Yes,Yes,Yes,Yes
A379980,Fiber Optic,Yes,Yes,Yes,No,No,No
A384618,DSL,Yes,No,Yes,Yes,Yes,No
A385989,None,Yes,Yes,Yes,Yes,No,Yes
A393225,Fiber Optic,No,No,Yes,No,Yes,Yes
A393945,None,Yes,No,No,No,No,No
A403906,None,Yes,No,Yes,No,No,No
A406844,DSL,Yes,No,No,No,Yes,No
A40824,DSL,Yes,Yes,Yes,No,Yes,Yes
A410868,Fiber Optic,No,Yes,No,Yes,Yes,No
A41212,Fiber Optic,Yes,No,No,Yes,Yes,No
A415870,DSL,Yes,No,No,Yes,No,No
A417108,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A420422,Fiber Optic,Yes,No,Yes,Yes,Yes,No
A425221,Fiber Optic,No,Yes,Yes,No,Yes,No
A430952,None,Yes,Yes,Yes,No,No,No
A432414,DSL,Yes,No,Yes,Yes,Yes,No
A439589,DSL,Yes,Yes,No,No,No,No
A442435,DSL,Yes,No,Yes,Yes,Yes,Yes
A443954,None,No,Yes,No,Yes,Yes,No
A448006,DSL,Yes,No,Yes,No,Yes,No
A448406,Fiber Optic,Yes,Yes,No,Yes,No,Yes
A45605,DSL,Yes,No,No,No,Yes,Yes
A457009,Fiber Optic,Yes,No,Yes,Yes,No,Yes
A458941,None,Yes,Yes,No,No,Yes,No
A464657,Fiber Optic,Yes,No,No,No,No,No
A466060,DSL,Yes,Yes,No,Yes,No,No
A466183,None,Yes,No,Yes,No,No,No
A470957,DSL,Yes,No,No,No,No,No
A471140,DSL,Yes,No,Yes,Yes,Yes,Yes
A471876,Fiber Optic,Yes,No,No,No,No,No
A472924,Fiber Optic,Yes,Yes,Yes,No,No,No
A47399,None,Yes,No,No,Yes,No,No
A477404,Fiber Optic,No,No,No,No,No,Yes
A477627,Fiber Optic,Yes,No,No,No,Yes,No
A48668,DSL,Yes,Yes,Yes,No,Yes,Yes
A486964,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes
A488962,Fiber Optic,Yes,No,No,No,No,Yes
A490867,Fiber Optic,Yes,No,Yes,No,No,Yes
A49320,None,Yes,No,No,No,No,No
A493340,DSL,Yes,Yes,Yes,No,No,No
A498648,DSL,Yes,No,Yes,No,Yes,Yes
A500103,None,No,No,Yes,No,Yes,No
A501629,Fiber Optic,No,No,No,No,Yes,Yes
A50168,None,Yes,Yes,No,No,No,No
A504244,DSL,Yes,Yes,Yes,No,Yes,Yes
A505732,None,Yes,No,No,Yes,Yes,No
A505760,None,Yes,No,Yes,No,No,No
A506823,DSL,Yes,Yes,No,Yes,No,No
A508226,DSL,Yes,Yes,No,Yes,No,No
A509485,DSL,Yes,No,Yes,No,No,No
A511583,None,Yes,No,Yes,No,Yes,No
A511604,Fiber Optic,Yes,No,Yes,No,No,No
A513224,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes
A516439,Fiber Optic,Yes,No,No,No,No,No
A516936,None,Yes,No,Yes,No,No,Yes
A51913,None,Yes,Yes,Yes,No,No,No
