customer_id,Timely_Responses,Timely Fixes,Timely_Replacement,Reliability,Options,Respectful,Courteous,Active_Listening
A00088,2,3,3,2,6,2,2,4
A04204,5,3,4,1,6,3,3,2
A04378,4,5,4,2,4,4,2,3
A04830,3,3,3,5,3,4,5,4
A05946,3,3,3,5,3,4,4,4
A06667,4,4,4,4,4,5,4,4
A08755,4,5,3,3,3,4,2,3
A100934,5,4,4,4,3,3,3,4
A103291,4,3,5,2,5,2,2,4
A105398,3,2,4,4,3,3,4,3
A106835,3,4,4,4,2,4,3,2
A118391,2,4,3,3,4,3,3,4
A121664,4,2,3,3,5,3,2,4
A124923,5,6,4,3,3,5,4,5
A125688,5,6,4,2,3,5,5,3
A127324,6,6,4,4,4,4,4,3
A127838,4,4,2,2,4,2,5,4
A128723,4,5,3,4,3,5,4,4
A131826,4,4,4,2,4,2,2,5
A132981,2,3,1,3,5,2,2,2
A138113,4,3,3,4,4,4,3,4
A141988,2,4,3,2,4,3,3,3
A143104,4,5,5,2,5,3,3,4
A143106,4,5,4,6,3,4,4,4
A145480,4,4,3,4,4,4,3,4
A146981,2,2,3,5,3,2,4,1
A151684,5,5,4,3,3,4,4,4
A155369,3,2,3,3,3,2,4,3
A156174,3,4,4,3,2,4,5,4
A156547,5,5,5,4,4,4,4,3
A159743,4,4,4,4,4,4,4,5
A163731,3,4,3,1,5,3,3,3
A165071,4,4,3,2,5,2,3,4
A166320,4,4,3,1,4,5,3,4
A166877,4,5,5,4,4,5,3,3
A169002,4,5,6,2,4,4,4,2
A170090,4,4,3,3,4,2,2,3
A175625,4,4,4,3,3,5,4,4
A176270,3,2,4,4,3,2,2,3
A17652,3,2,3,5,2,4,5,5
A177150,3,4,2,3,4,4,4,4
A178778,3,3,3,1,6,3,2,4
A184694,4,2,5,2,4,3,4,2
A199560,3,4,3,5,2,4,4,4
A202517,4,4,4,5,2,4,5,2
A206123,3,3,2,2,5,2,3,3
A212257,4,4,5,3,3,2,4,4
A213804,4,4,3,3,3,3,3,4
A219935,5,4,3,3,3,5,4,4
A223123,2,3,3,4,4,3,4,2
A224018,4,3,3,6,3,3,5,3
A224472,4,4,5,4,3,2,4,3
A22477,5,4,5,5,2,4,4,3
A225434,3,3,4,5,3,4,4,3
A226212,5,4,4,3,3,5,5,3
A229546,3,4,4,3,6,4,3,4
A230205,4,3,4,3,5,2,4,2
A233218,5,4,5,3,4,4,4,3
A235822,4,3,4,3,3,4,3,4
A236354,3,4,3,4,4,4,3,3
A241767,6,5,5,3,4,3,3,3
A254137,4,4,3,4,3,2,2,2
A25662,4,4,5,3,4,3,3,5
A258709,3,3,3,3,3,3,3,4
A259316,4,3,3,2,4,4,4,2
A260461,4,4,4,5,1,4,4,3
A263401,4,4,4,5,2,4,3,4
A267074,4,4,2,3,2,4,4,5
A267630,5,5,3,4,4,4,4,3
A268547,3,2,2,3,4,4,4,2
A270578,4,4,4,4,5,3,4,4
A27178,3,4,3,2,4,3,3,3
A273212,4,3,4,3,4,4,5,5
A273885,2,3,2,4,3,2,3,4
A282518,3,3,3,5,2,3,4,4
A289117,4,3,4,4,3,3,3,4
A290262,2,2,2,3,3,2,3,3
A292290,4,3,4,4,3,3,4,4
