customer_id,lat,lng,population,children,age,income,marital,churn,gender,tenure,monthly_charge,bandwidth_gp_year,outage_sec_week,email,contacts,yearly_equip_faiure,techie,port_modem,tablet,job_id,payment_id,contract_id,location_id
K409198,56.251,-133.37571,38,0,68,28561.99,Widowed,No,Male,6.795512947,172.455519,904.5361102,7.978322947,10,0,1,No,Yes,Yes,229,2,2,5599
S120509,44.32893,-84.2408,10446,1,27,21704.77,Married,Yes,Female,1.156680997,242.632554,800.9827661,11.69907956,12,0,1,Yes,No,Yes,468,1,1,2737
K191035,45.35589,-123.24657,3735,4,50,9609.57,Widowed,No,Female,15.75414408,159.947583,2054.706961,10.75280028,9,0,1,Yes,Yes,No,96,2,3,1297
D90850,32.96687,-117.24798,13863,1,48,18925.23,Married,No,Male,17.08722662,119.95684,2164.579412,14.91353964,15,2,0,Yes,No,No,552,4,3,5181
K662701,29.38012,-95.80673,11352,0,83,40074.19,Separated,Yes,Male,1.670971726,149.948316,271.4934362,8.147416533,16,2,1,No,Yes,No,371,4,1,30
W303516,32.57032,-83.8904,17701,3,83,22660.2,Never Married,No,Female,7.000993555,185.007692,1039.357983,8.420992898,15,3,1,No,Yes,No,101,3,2,3476
U335188,36.4342,-84.27892,2535,0,79,11467.5,Widowed,Yes,Male,13.23677381,200.118516,1907.242972,11.18272453,10,0,1,Yes,No,No,571,3,1,4224
V538685,35.43313,-97.52463,23144,2,30,26759.64,Married,Yes,Female,4.26425515,114.950905,979.6127078,7.791632265,16,0,0,Yes,No,No,524,4,1,7190
M716771,28.27646,-81.16273,17351,2,49,58634.51,Separated,No,Prefer not to answer,8.220686373,117.468591,1312.874964,5.739005915,20,2,3,No,Yes,No,590,1,1,238
I676080,39.19296,-84.4523,20193,1,86,50231.4,Married,No,Female,3.422086139,162.482694,508.7637913,8.707823904,18,1,0,No,Yes,No,389,4,3,5016
J980369,41.95142,-76.10744,555,7,23,22580.7,Separated,No,Female,19.26726194,174.958118,2728.767869,9.341631685,9,0,2,No,No,No,589,4,1,3252
E243720,18.3041,-66.32847,33372,2,56,18342.12,Married,No,Female,10.52199781,149.962093,1180.588788,6.68082638,17,1,1,No,Yes,No,359,3,1,5644
F139569,41.37287,-91.36865,556,0,83,83671.08,Divorced,No,Male,13.01149229,137.439154,1196.388018,8.273875452,9,0,0,No,Yes,No,200,1,1,6398
X44200,44.43256,-70.11501,0,5,29,115114.57,Separated,No,Female,16.87922024,184.971516,1948.694497,5.880565591,14,1,0,No,Yes,Yes,340,1,3,826
H68068,41.86752,-87.90222,8165,1,30,64256.81,Separated,Yes,Male,10.06019902,159.965581,1582.295235,11.79073041,10,3,0,No,No,No,57,1,1,3860
A403906,45.92342,-89.50138,2093,3,39,89061.45,Divorced,Yes,Male,13.87001293,177.65076,1840.014467,10.79846973,13,1,0,No,No,No,34,3,2,7188
