location_id,zip,city,state,county
5599,62419,Calhoun,IL,Richland
2737,32266,Neptune Beach,FL,Duval
1297,16424,Linesville,PA,Crawford
5181,58428,Dawson,ND,Kidder
30,952,Sabana Seca,PR,Toa Baja
3476,40741,London,KY,Laurel
4224,48509,Burton,MI,Genesee
7190,79379,Whiteface,TX,Cochran
238,3256,New Hampton,NH,Belknap
5016,56571,Ottertail,MN,Otter Tail
3252,38235,Mc Lemoresville,TN,Carroll
5644,62830,Dix,IL,Jefferson
6398,71726,Chidester,AR,Ouachita
826,12195,West Lebanon,NY,Columbia
3860,45169,Sabina,OH,Clinton
7188,79367,Smyer,TX,Hockley
8149,95540,Fortuna,CA,Humboldt
4377,49905,Atlantic Mine,MI,Houghton
1538,18929,Jamison,PA,Bucks
6937,77051,Houston,TX,Harris
3419,40007,Bethlehem,KY,Henry
5358,60301,Oak Park,IL,Cook
2453,29431,Bonneau,SC,Berkeley
5959,66112,Kansas City,KS,Wyandotte
5680,63034,Florissant,MO,St. Louis
2768,32564,Holt,FL,Okaloosa
4554,51636,Coin,IA,Page
7167,79220,Afton,TX,Dickens
7569,85362,Yarnell,AZ,Yavapai
4867,55405,Minneapolis,MN,Hennepin
8562,99745,Hughes,AK,Yukon-Koyukuk
8189,95926,Chico,CA,Butte
6465,72325,Clarkedale,AR,Crittenden
3673,43320,Edison,OH,Morrow
4705,54023,Roberts,WI,St. Croix
6654,74145,Tulsa,OK,Tulsa
630,8618,Trenton,NJ,Mercer
4095,47470,Williams,IN,Lawrence
7838,91502,Burbank,CA,Los Angeles
8555,99720,Allakaket,AK,Yukon-Koyukuk
5160,58225,Drayton,ND,Pembina
2858,33446,Delray Beach,FL,Palm Beach
4899,55811,Duluth,MN,St. Louis
8581,99923,Hyder,AK,Prince of Wales-Hyder
723,10975,Southfields,NY,Orange
2489,29672,Seneca,SC,Oconee
4577,52247,Kalona,IA,Washington
5839,64689,Winston,MO,Daviess
5408,60924,Cissna Park,IL,Iroquois
4437,50263,Waukee,IA,Dallas
4102,47562,Odon,IN,Daviess
1602,19946,Frederica,DE,Kent
5152,58103,Fargo,ND,Cass
5162,58237,Grafton,ND,Walsh
2494,29693,Westminster,SC,Oconee
5707,63144,Saint Louis,MO,St. Louis
5473,61379,Wyanet,IL,Bureau
6162,68516,Lincoln,NE,Lancaster
7104,78626,Georgetown,TX,Williamson
4655,53195,Zenda,WI,Walworth
4590,52327,Riverside,IA,Washington
3791,44313,Akron,OH,Summit
2611,30642,Greensboro,GA,Greene
3083,36274,Roanoke,AL,Randolph
7218,79830,Alpine,TX,Brewster
6711,75009,Celina,TX,Collin
4504,50701,Waterloo,IA,Black Hawk
140,2189,East Weymouth,MA,Norfolk
7271,80476,Silver Plume,CO,Clear Creek
6149,68403,Manley,NE,Cass
499,6811,Danbury,CT,Fairfield
5894,65459,Dixon,MO,Pulaski
1670,21031,Hunt Valley,MD,Baltimore
3135,36916,Pennington,AL,Choctaw
7317,81058,Manzanola,CO,Otero
7986,93517,Bridgeport,CA,Mono
7268,80467,Oak Creek,CO,Routt
5929,65785,Stockton,MO,Cedar
2853,33435,Boynton Beach,FL,Palm Beach
7751,89161,Las Vegas,NV,Clark
1558,19121,Philadelphia,PA,Philadelphia
6086,67748,Oakley,KS,Logan
415,5655,Hyde Park,VT,Lamoille
2755,32443,Greenwood,FL,Jackson
2684,31641,Naylor,GA,Lowndes
5304,59803,Missoula,MT,Missoula
3878,45315,Clayton,OH,Montgomery
7138,78886,Yancey,TX,Medina
5128,57751,Keystone,SD,Pennington
4303,49286,Tecumseh,MI,Lenawee
6902,76823,Bangs,TX,Brown
4392,50010,Ames,IA,Story
3058,35971,Fyffe,AL,DeKalb
7392,83013,Moran,WY,Teton
2480,29626,Anderson,SC,Anderson
3994,46506,Bremen,IN,Marshall
6069,67583,Turon,KS,Reno
7253,80232,Denver,CO,Jefferson
7160,79087,Texline,TX,Dallam
7951,93108,Santa Barbara,CA,Santa Barbara
8546,99671,Stebbins,AK,Nome
888,12859,Porter Corners,NY,Saratoga
4434,50252,Swan,IA,Marion
271,3846,Jackson,NH,Carroll
3111,36576,Silverhill,AL,Baldwin
2021,25136,Montgomery,WV,Fayette
2075,25868,Lookout,WV,Fayette
2549,30215,Fayetteville,GA,Fayette
6921,76950,Sonora,TX,Sutton
1810,22974,Troy,VA,Fluvanna
441,5846,Island Pond,VT,Essex
4413,50118,Hartford,IA,Warren
4885,55726,Cromwell,MN,Carlton
4839,55126,Saint Paul,MN,Ramsey
2335,28385,Salemburg,NC,Sampson
2219,27507,Bullock,NC,Granville
4754,54558,Saint Germain,WI,Vilas
8454,98683,Vancouver,WA,Clark
7794,90201,Bell Gardens,CA,Los Angeles
1472,18083,Stockertown,PA,Northampton
6413,71922,Antoine,AR,Pike
7786,90034,Los Angeles,CA,Los Angeles
4977,56315,Brandon,MN,Douglas
312,4355,Readfield,ME,Kennebec
7024,78010,Center Point,TX,Kerr
7323,81122,Bayfield,CO,La Plata
7694,88039,Glenwood,NM,Catron
4889,55752,Jacobson,MN,Aitkin
1063,14485,Lima,NY,Livingston
2025,25165,Racine,WV,Boone
1285,16327,Guys Mills,PA,Crawford
8116,95333,Le Grand,CA,Merced
7379,82714,Devils Tower,WY,Crook
7551,85254,Scottsdale,AZ,Maricopa
3028,35586,Sulligent,AL,Lamar
2010,25053,Danville,WV,Boone
8471,98933,Harrah,WA,Yakima
8579,99903,Meyers Chuck,AK,Wrangell
4738,54441,Hewitt,WI,Wood
5216,58656,Taylor,ND,Stark
8125,95369,Snelling,CA,Merced
5822,64486,Sheridan,MO,Worth
988,13680,Rensselaer Falls,NY,St. Lawrence
5385,60556,Waterman,IL,DeKalb
7966,93261,Richgrove,CA,Tulare
5266,59263,Scobey,MT,Daniels
9,692,Vega Alta,PR,Vega Alta
582,7920,Basking Ridge,NJ,Somerset
5501,61554,Pekin,IL,Tazewell
8146,95521,Arcata,CA,Humboldt
5432,61063,Pecatonica,IL,Winnebago
5422,60974,Woodland,IL,Iroquois
467,6332,Central Village,CT,Windham
1653,20769,Glenn Dale,MD,Prince Georges
700,10530,Hartsdale,NY,Westchester
852,12498,Woodstock,NY,Ulster
4003,46573,Wakarusa,IN,Elkhart
6652,74128,Tulsa,OK,Tulsa
287,4037,Fryeburg,ME,Oxford
1869,23829,Capron,VA,Southampton
5146,58053,Lidgerwood,ND,Richland
7552,85284,Tempe,AZ,Maricopa
2807,32953,Merritt Island,FL,Brevard
6401,71744,Hampton,AR,Calhoun
4723,54173,Suamico,WI,Brown
7892,92277,Twentynine Palms,CA,San Bernardino
2361,28555,Maysville,NC,Onslow
5634,62670,New Berlin,IL,Sangamon
7094,78584,Roma,TX,Starr
7595,85742,Tucson,AZ,Pima
623,8350,Richland,NJ,Atlantic
749,11509,Atlantic Beach,NY,Nassau
6772,75633,Carthage,TX,Panola
4188,48216,Detroit,MI,Wayne
