antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,0.01822305130679728,1.1593136455154853
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.23836821757099053,0.17411011865084655,0.05972536995067324,0.2505592841163311,1.4390851379453289,0.01822305130679728,1.1020082894420047
frozenset({'HP 61 ink'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,0.013604247514365099,1.1223566673923893
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'HP 61 ink'}),0.23836821757099053,0.1638448206905746,0.05265964538061592,0.220917225950783,1.348332068231752,0.013604247514365099,1.0732558941889825
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Apple Pencil'}),0.23836821757099053,0.17970937208372217,0.05092654312758299,0.21364653243847875,1.188844688294532,0.008089540423184209,1.0431576406218384
frozenset({'Apple Pencil'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.17970937208372217,0.23836821757099053,0.05092654312758299,0.28338278931750743,1.188844688294532,0.008089540423184209,1.0628153651286798
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.23836821757099053,0.12958272230369283,0.04799360085321957,0.20134228187919462,1.5537741320739085,0.01710519830969167,1.0898502048466365
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,0.01710519830969167,1.209650477975486
frozenset({'SanDisk Ultra 64GB card'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.09825356619117451,0.23836821757099053,0.040927876283162246,0.41655359565807326,1.7475215442008991,0.01750734884017864,1.305401450349256
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'SanDisk Ultra 64GB card'}),0.23836821757099053,0.09825356619117451,0.040927876283162246,0.17170022371364654,1.7475215442008993,0.01750734884017864,1.0886715892303713
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'SanDisk Ultra 64GB card'}),0.17411011865084655,0.09825356619117451,0.03919477403012932,0.22511485451761104,2.2911621760333793,0.022087833962715117,1.1637162475833263
frozenset({'SanDisk Ultra 64GB card'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,0.022087833962715117,1.3739973872558149
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'HP 61 ink'}),0.17411011865084655,0.1638448206905746,0.03919477403012932,0.22511485451761104,1.3739516059695691,0.010667732859366695,1.0790698262629541
frozenset({'HP 61 ink'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.1638448206905746,0.17411011865084655,0.03919477403012932,0.23921887713588283,1.3739516059695691,0.010667732859366695,1.085581459014021
frozenset({'Apple Pencil'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.17970937208372217,0.17411011865084655,0.036528462871617116,0.2032640949554896,1.1674456173515526,0.005239242775451118,1.0365917691421405
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Apple Pencil'}),0.17411011865084655,0.17970937208372217,0.036528462871617116,0.20980091883614088,1.1674456173515524,0.005239242775451118,1.0380809690490882
frozenset({'USB 2.0 Printer cable'}),frozenset({'Apple Pencil'}),0.1709105452606319,0.17970937208372217,0.036395147313691506,0.21294851794071765,1.1849605586597352,0.005680920542416767,1.0422324925556672
frozenset({'Apple Pencil'}),frozenset({'USB 2.0 Printer cable'}),0.17970937208372217,0.1709105452606319,0.036395147313691506,0.20252225519287834,1.1849605586597352,0.005680920542416767,1.0396396139429471
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.23836821757099053,0.09532062391681109,0.03572856952406346,0.1498881431767338,1.57246288387228,0.013007162303258473,1.0641886344978566
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,0.013007162303258473,1.2182700770396908
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.17411011865084655,0.12958272230369283,0.03546193840821224,0.20367534456355285,1.57177855922964,0.012900275252816583,1.0930432352609396
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.12958272230369283,0.17411011865084655,0.03546193840821224,0.27366255144032925,1.5717785592296398,0.012900275252816583,1.1370608564750384
frozenset({'HP 61 ink'}),frozenset({'USB 2.0 Printer cable'}),0.1638448206905746,0.1709105452606319,0.03439541394480736,0.209926769731489,1.2282844771886887,0.006392606302450789,1.0493830482746482
frozenset({'USB 2.0 Printer cable'}),frozenset({'HP 61 ink'}),0.1709105452606319,0.1638448206905746,0.03439541394480736,0.20124804992199688,1.2282844771886887,0.006392606302450789,1.0468270897213705
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Stylus Pen for iPad'}),0.23836821757099053,0.09505399280095987,0.03372883615517931,0.14149888143176736,1.4886158620191963,0.011070985318208743,1.0540999745093707
frozenset({'Stylus Pen for iPad'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,0.011070985318208743,1.1805292627649648
