,Revenue
2021-08-09,13.31029028
2021-08-10,12.66560082
2021-08-11,13.66065769
2021-08-12,13.22188221
2021-08-13,13.66726695
2021-08-14,13.90272062
2021-08-15,13.08160973
2021-08-16,14.04196943
2021-08-17,14.31322806
2021-08-18,15.11370708
2021-08-19,14.55937527
2021-08-20,14.47191087
2021-08-21,14.00773834
2021-08-22,14.38743999
2021-08-23,14.48840167
2021-08-24,14.65165077
2021-08-25,14.51457225
2021-08-26,14.92224878
2021-08-27,14.19465212
2021-08-28,14.1137927
2021-08-29,13.64436482
2021-08-30,14.57006597
2021-08-31,13.70952729
2021-09-01,14.0105535
2021-09-02,14.42484355
2021-09-03,13.71071969
2021-09-04,13.30590294
2021-09-05,13.70184262
2021-09-06,13.4939323
2021-09-07,13.60321536
2021-09-08,12.709116
2021-09-09,12.56578173
2021-09-10,12.29204511
2021-09-11,12.49372294
2021-09-12,12.22476014
2021-09-13,12.37883736
2021-09-14,11.86318822
2021-09-15,11.95917661
2021-09-16,11.6136404
2021-09-17,10.92231613
2021-09-18,10.69381706
2021-09-19,9.796640702
2021-09-20,10.02455082
2021-09-21,10.25129418
2021-09-22,10.16837721
2021-09-23,10.12922394
2021-09-24,10.03817646
2021-09-25,9.946258256
2021-09-26,9.819163247
2021-09-27,10.96613807
2021-09-28,10.27845019
2021-09-29,10.87216455
2021-09-30,10.58298221
2021-10-01,10.5051701
2021-10-02,10.58489695
2021-10-03,10.31046583
2021-10-04,10.18655992
2021-10-05,10.63566981
2021-10-06,10.58623485
2021-10-07,10.49470146
2021-10-08,10.53012782
2021-10-09,11.6697284
2021-10-10,10.93910566
2021-10-11,11.25043349
2021-10-12,11.10082439
2021-10-13,11.56193798
2021-10-14,12.00135944
2021-10-15,11.9636437
2021-10-16,12.67651716
2021-10-17,12.59589118
2021-10-18,13.50372538
2021-10-19,12.52480966
2021-10-20,13.58617103
2021-10-21,13.65152094
2021-10-22,13.50747349
2021-10-23,13.6003226
2021-10-24,12.91172575
2021-10-25,13.12942153
2021-10-26,12.88747154
2021-10-27,12.57004373
2021-10-28,12.38921609
2021-10-29,12.52303613
2021-10-30,12.78698765
2021-10-31,12.90053284
2021-11-01,13.72420584
2021-11-02,13.53927692
2021-11-03,12.96144201
2021-11-04,12.60190222
2021-11-05,13.19403382
2021-11-06,13.02494603
2021-11-07,11.95978435
2021-11-08,13.04856333
2021-11-09,12.09273847
2021-11-10,12.74880565
2021-11-11,12.15194817
2021-11-12,13.68801758
2021-11-13,12.68174728
2021-11-14,13.25007071
2021-11-15,12.52233421
2021-11-16,12.87797176
2021-11-17,12.74760906
2021-11-18,13.95946905
2021-11-19,12.95734948
2021-11-20,14.3575701
2021-11-21,14.31367533
2021-11-22,14.4417502
2021-11-23,14.89664447
2021-11-24,15.49596954
2021-11-25,15.12120536
2021-11-26,15.81472479
2021-11-27,14.95180243
2021-11-28,15.69224206
2021-11-29,15.32256273
2021-11-30,15.48148898
2021-12-01,15.0779299
2021-12-02,15.26982882
2021-12-03,15.56393486
2021-12-04,15.70968355
2021-12-05,16.27057613
2021-12-06,15.86464801
2021-12-07,16.79198088
2021-12-08,16.44669768
2021-12-09,15.57683314
2021-12-10,16.51737488
2021-12-11,16.79290034
2021-12-12,16.69296483
2021-12-13,17.15234138
2021-12-14,17.90318899
2021-12-15,17.47106673
2021-12-16,17.14585013
2021-12-17,17.94883403
2021-12-18,18.15476909
2021-12-19,17.76881703
2021-12-20,17.25084632
2021-12-21,17.95227784
2021-12-22,17.25593422
2021-12-23,17.58362651
2021-12-24,16.82175807
2021-12-25,17.45905614
2021-12-26,16.76127825
2021-12-27,16.93155866
2021-12-28,17.49066618
2021-12-29,16.80363798
2021-12-30,16.1948135
2021-12-31,16.6207985
