,Revenue
2020-01-01,0.0
2020-01-02,0.000793191
2020-01-03,0.825541786
2020-01-04,0.32033228
2020-01-05,1.082554085
2020-01-06,0.107653784
2020-01-07,0.493901361
2020-01-08,0.376698452
2020-01-09,0.304074848
2020-01-10,0.591747849
2020-01-11,0.731018901
2020-01-12,1.111586215
2020-01-13,0.960902689
2020-01-14,0.964013419
2020-01-15,0.979731886
2020-01-16,1.085546892
2020-01-17,1.262549787
2020-01-18,1.331183307
2020-01-19,1.411429732
2020-01-20,1.709116779
2020-01-21,1.735783527
2020-01-22,1.760959886
2020-01-23,2.558601513
2020-01-24,1.48420495
2020-01-25,2.089944633
2020-01-26,2.840568572
2020-01-27,2.162204307
2020-01-28,3.113269737
2020-01-29,2.746580938
2020-01-30,3.079242819
2020-01-31,2.647838543
2020-02-01,3.118230798
2020-02-02,2.442888497
2020-02-03,3.042407809
2020-02-04,3.012894439
2020-02-05,3.290825745
2020-02-06,3.274029416
2020-02-07,3.586805202
2020-02-08,3.170426377
2020-02-09,3.572077947
2020-02-10,2.693130469
2020-02-11,2.399656142
2020-02-12,2.433776379
2020-02-13,2.593848576
2020-02-14,3.323496491
2020-02-15,2.951387252
2020-02-16,3.216948781
2020-02-17,2.877026963
2020-02-18,3.057523831
2020-02-19,2.858495329
2020-02-20,2.533082553
2020-02-21,3.223959721
2020-02-22,2.973617615
2020-02-23,3.360834071
2020-02-24,2.31040157
2020-02-25,1.843596513
2020-02-26,1.631977575
2020-02-27,1.644604449
2020-02-28,1.497246827
2020-02-29,1.267859555
2020-03-01,1.587253694
2020-03-02,2.131085418
2020-03-03,1.995083459
2020-03-04,2.330776602
2020-03-05,1.742724907
2020-03-06,2.588660848
2020-03-07,1.505169543
2020-03-08,2.226315816
2020-03-09,2.973069578
2020-03-10,2.72388059
2020-03-11,2.964093274
2020-03-12,3.88820192
2020-03-13,3.938590458
2020-03-14,5.138308366
2020-03-15,5.482323172
2020-03-16,6.133334991
2020-03-17,6.366939393
2020-03-18,6.434758029
2020-03-19,6.102308899
2020-03-20,6.236527145
2020-03-21,6.815921859
2020-03-22,7.07286465
2020-03-23,6.274130876
2020-03-24,7.375977982
2020-03-25,6.916245052
2020-03-26,7.408050282
2020-03-27,7.863842943
2020-03-28,6.783895049
2020-03-29,7.583081086
2020-03-30,7.763779393
2020-03-31,7.344577122
2020-04-01,7.982311471
2020-04-02,6.946042709
2020-04-03,7.495289393
2020-04-04,7.450862838
2020-04-05,6.82734429
2020-04-06,7.095401048
2020-04-07,6.322858273
2020-04-08,6.453783819
2020-04-09,6.90142039
2020-04-10,6.364222316
2020-04-11,6.487956156
2020-04-12,6.055526889
2020-04-13,6.416777674
2020-04-14,6.695885552
2020-04-15,6.381637205
2020-04-16,6.151061938
2020-04-17,6.604086168
2020-04-18,7.181114215
2020-04-19,7.946744172
2020-04-20,8.034009599
2020-04-21,8.034351705
2020-04-22,7.944531429
2020-04-23,7.573324241
2020-04-24,7.164514393
2020-04-25,6.309727531
2020-04-26,7.418626769
2020-04-27,7.00182315
2020-04-28,8.029547488
2020-04-29,7.330337859
2020-04-30,7.606007772
2020-05-01,7.110366293
2020-05-02,7.131337879
2020-05-03,6.76488602
2020-05-04,7.260526894
2020-05-05,7.544141343
2020-05-06,7.33093608
2020-05-07,7.568258573
2020-05-08,7.486801358
2020-05-09,8.117012517
2020-05-10,7.415766826
2020-05-11,7.780389211
2020-05-12,7.830950713
2020-05-13,7.92206928
2020-05-14,7.76971031
2020-05-15,8.176501818
2020-05-16,7.753128355
2020-05-17,7.44780328
2020-05-18,6.606752799
2020-05-19,7.60677813
2020-05-20,7.157498503
2020-05-21,7.218478047
2020-05-22,7.485049457
2020-05-23,7.152312945
2020-05-24,7.506441261
2020-05-25,7.029261517
2020-05-26,7.06516091
2020-05-27,6.585496947
2020-05-28,6.108246159
2020-05-29,5.913673164
2020-05-30,6.844251596
2020-05-31,5.936896508
2020-06-01,7.146617054
2020-06-02,5.698388374
2020-06-03,6.41938589
2020-06-04,5.351951701
2020-06-05,6.013657257
2020-06-06,5.676967765
2020-06-07,5.362054145
2020-06-08,5.136908683
2020-06-09,6.13872931
2020-06-10,5.468684959
2020-06-11,5.457250359
2020-06-12,6.305916197
2020-06-13,6.15007653
2020-06-14,6.565829307
2020-06-15,6.966321242
2020-06-16,6.31170634
2020-06-17,5.943952602
2020-06-18,5.841843614
2020-06-19,6.681780332
2020-06-20,5.664625151
2020-06-21,5.481281548
2020-06-22,5.671976498
2020-06-23,5.188018593
2020-06-24,5.609863758
2020-06-25,4.907574806
2020-06-26,5.437139336
2020-06-27,5.298284266
2020-06-28,5.412603871
2020-06-29,5.674703941
2020-06-30,6.233395622
2020-07-01,5.964008868
2020-07-02,6.223849962
2020-07-03,6.179556586
2020-07-04,5.921670524
2020-07-05,6.277405791
2020-07-06,5.871568903
